127.0.0.1 - - [11/Mar/2017:16:39:49 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:16 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/resources/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/resources/js/angular-cookies.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/c_user/UserServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/c_blog/BlogServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/c_common/Home.html HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:17 +0530] "GET /CollaborationFrontEnd/c_common/NavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:20 +0530] "GET /CollaborationFrontEnd/resources/Images/job.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:20 +0530] "GET /CollaborationFrontEnd/resources/Images/blog.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:20 +0530] "GET /CollaborationFrontEnd/resources/Images/alumni1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:20 +0530] "GET /CollaborationFrontEnd/c_common/Footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:22 +0530] "GET /CollaborationFrontEnd/resources/bootstrap/bootstrap-social.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:40:26 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:41:57 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:41:58 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:41:58 +0530] "GET /CollaborationFrontEnd/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:41:58 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
